Timestamp,Container,CPU%
2025-04-24 18:58:57,local-dns-10.9.0.53,3.68%
2025-04-24 18:58:57,example-edu-10.9.0.65,0.00%
2025-04-24 18:58:57,spare-edu-10.9.0.66,0.00%
2025-04-24 18:58:57,root-10.9.0.30,0.00%
2025-04-24 18:58:57,edu-10.9.0.60,0.00%
2025-04-24 18:58:57,user-10.9.0.5,0.00%
2025-04-24 18:59:00,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:00,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:00,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:00,root-10.9.0.30,0.00%
2025-04-24 18:59:00,edu-10.9.0.60,0.00%
2025-04-24 18:59:00,user-10.9.0.5,0.00%
2025-04-24 18:59:04,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:04,example-edu-10.9.0.65,1.06%
2025-04-24 18:59:04,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:04,root-10.9.0.30,0.00%
2025-04-24 18:59:04,edu-10.9.0.60,0.00%
2025-04-24 18:59:04,user-10.9.0.5,0.01%
2025-04-24 18:59:07,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:07,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:07,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:07,root-10.9.0.30,0.00%
2025-04-24 18:59:07,edu-10.9.0.60,0.00%
2025-04-24 18:59:07,user-10.9.0.5,1.23%
2025-04-24 18:59:11,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:11,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:11,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:11,root-10.9.0.30,0.00%
2025-04-24 18:59:11,edu-10.9.0.60,0.00%
2025-04-24 18:59:11,user-10.9.0.5,0.00%
2025-04-24 18:59:14,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:14,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:14,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:14,root-10.9.0.30,0.00%
2025-04-24 18:59:14,edu-10.9.0.60,0.00%
2025-04-24 18:59:14,user-10.9.0.5,0.00%
2025-04-24 18:59:18,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:18,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:18,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:18,root-10.9.0.30,0.00%
2025-04-24 18:59:18,edu-10.9.0.60,0.00%
2025-04-24 18:59:18,user-10.9.0.5,0.00%
2025-04-24 18:59:22,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:22,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:22,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:22,root-10.9.0.30,0.00%
2025-04-24 18:59:22,edu-10.9.0.60,0.00%
2025-04-24 18:59:22,user-10.9.0.5,0.00%
2025-04-24 18:59:25,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:25,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:25,spare-edu-10.9.0.66,0.01%
2025-04-24 18:59:25,root-10.9.0.30,0.00%
2025-04-24 18:59:25,edu-10.9.0.60,0.00%
2025-04-24 18:59:25,user-10.9.0.5,0.00%
2025-04-24 18:59:29,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:29,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:29,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:29,root-10.9.0.30,0.00%
2025-04-24 18:59:29,edu-10.9.0.60,0.00%
2025-04-24 18:59:29,user-10.9.0.5,0.00%
2025-04-24 18:59:32,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:32,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:32,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:32,root-10.9.0.30,0.01%
2025-04-24 18:59:32,edu-10.9.0.60,0.00%
2025-04-24 18:59:32,user-10.9.0.5,0.00%
2025-04-24 18:59:36,local-dns-10.9.0.53,3.68%
2025-04-24 18:59:36,example-edu-10.9.0.65,0.00%
2025-04-24 18:59:36,spare-edu-10.9.0.66,0.00%
2025-04-24 18:59:36,root-10.9.0.30,0.00%
2025-04-24 18:59:36,edu-10.9.0.60,0.00%
2025-04-24 18:59:36,user-10.9.0.5,0.00%
